review,label
"['removed', 'appendix', '2009', 'after', 'several', 'year', 'experiencing', 'mysterious', 'reoccurring', 'abdominal', 'pain', 'eventually', 'thankfully', 'led', 'acute', 'appendicitis', 'his', 'bedside', 'manner', 'pleasant', 'his', 'workmanship', 'best', 'small', 'neat', 'barely', 'noticeable', 'thank']",2.0
"['doctor', 'thorough', 'knowledgeable', 'best', 'doctor', 'ever']",2.0
"['excellent', 'surgeon', 'great', 'bedside', 'manner', 'great', 'process', 'overall']",2.0
"['feel', 'like', 'alone', 'approach', 'front', 'desk', 'never', 'smile', 'good', 'morning', 'may', 'take', 'knowledge', 'together', 'she', 'friendly', 'problem', 'she', 'help', 'rather', 'pas', 'bad', 'clone', 'her', 'love', 'girl']",1.0
"['positive', 'experience', 'after', 'son', 'dentist', 'called', 'her', 'god', 'surprised', 'personable', 'she', 'wait', 'almost', 'month', 'get', 'worked', 'u', 'consultation', 'took', 'saw', 'him', 'son', 'tooth', 'however', 'she', 'said', 'she', 'see', 'impacted', 'teeth', 'fairly', 'often', 'not', 'seem', 'concerned', 'originally', 'wanted', 'son', 'she', 'recommended', 'go', 'brace', 'instead', 'his', 'case', 'went', 'ceramic', 'bracket', 'far', 'reassuring', 'good', 'experience']",2.0
"['amazing', 'saw', 'doctor', 'pain', 'period', 'several', 'hears', 'not', 'anyone', 'help', 'find', 'two', 'month', 'feeling', 'much', 'much', 'better', 'keep', 'going', 'get', 'fixed']",2.0
"['doctor', 'lacked', 'make', 'prudent', 'decision', 'during', 'surgery', 'weigh', 'consequence', 'his', 'surgical', 'action', 'impaired', 'quality', 'life', 'compromised', 'condition', 'managing', 'symptom', 'option', 'entered', 'surgery', 'perfect', 'health', 'suffer', 'rare', 'disorder', 'believe', 'his', 'intention', 'good', 'he', 'needed', 'training', 'type', 'procedure']",1.0
"['knew', 'him', 'good', 'surgeon', 'his', 'past', 'haunt', 'him', 'good', 'staff']",1.0
"['she', 'quick', 'rush', 'everything', 'she', 'not', 'compassion', 'thought', 'professional', 'type', 'field', 'medical', 'field', 'little', 'bit', 'sensitive', 'empathetic']",1.0
"['breast', 'implant', 'done', 'he', 'great', 'bed', 'side', 'manner', 'however', 'not', '100', 'happy', 'result', 'breast', 'far', 'apart', 'lay', 'pretty', 'much', 'arm', 'pit', 'planning', 'getting', 'redone', 'however', 'get', 'take', 'approx', 'one', 'year', 'he', 'knowledgeable', 'take', 'his', 'time', 'during', 'consult', 'however', 'happy', 'result']",1.0
"['rude', 'incompetent', 'staff', 'far', 'better', 'clinician']",0.0
"['several', 'year', 'he', 'major', 'contributor', 'health', 'well']",1.0
"['worse', 'doctor', 'ever', 'he', 'rude', 'arrogant', 'go', 'anywhere', 'else']",0.0
"['human', 'lullaby', 'she', 'put', 'ease', 'brush', 'worry', 'away', 'delivers', 'artful', 'result', 'staff', 'world']",2.0
"['medical', 'professional', 'doctor', 'far', 'best', 'she', 'push', 'kind', 'test', 'pill', 'she', 'listens', 'always', 'available', 'answer', 'question', 'she', 'tremendous', 'recommend', 'her', 'enough']",2.0
"['nice', 'person', 'pain', 'almost', 'year', 'she', 'order', 'test', 'never', 'get', 'call', 'back', 'result', 'month', 'go', 'still', 'nothing', 'go', 'finally', 'one', 'visit', 'gave', 'answer', 'colic', 'she', 'go', 'check', 'area', 'not', 'refer', 'specialist', 'field', 'upsetting', 'answer', 'found', 'pregnant', 'wait', 'suffer', 'never', 'correctly', 'check', 'earlier', 'cant', 'remove', 'wish', 'helped', 'year', 'ago']",1.0
"['seeing', 'her', 'year', 'she', 'seems', 'know', 'she', 'spent', 'lot', 'time', 'her', 'patient', 'she', 'always', 'rush', 'her', 'staff', 'sometimes', 'rude', 'wait', 'time', 'problem']",1.0
"['agreed', 'see', 'daughter', 'paralyzed', 'time', 'after', 'talking', 'pediatrician', 'believed', 'issue', 'psychological', 'examined', 'daughter', 'three', 'minute', 'concurred', 'pediatrician', 'neither', 'pediatrician', 'conducted', 'testing', 'nerve', 'conduction', 'test', 'not', 'even', 'simple', 'blood', 'test', 'check', 'inflammation', 'after', 'mayo', 'clinic', 'following', ""children's"", 'hospital', 'solid', 'diagnosis', 'well', 'permanent', 'nerve', 'damage', 'due', 'lack', 'testing', 'treatment', 'later', 'informed', 'note', 'ordered', 'geneticist', 'clearly', 'stated', 'she', 'recommended', 'nerve', 'conduction', 'test', 'she', 'chose', 'back', 'pediatrician', 'not', 'share', 'recommendation', 'u', 'happen', 'clearly', 'physician', 'opts', 'advocate', 'her', 'colleague', 'not', 'her', 'patient', 'forgotten', 'her', 'pledge', 'harm']",0.0
"['est', 'non', 'tr', 'tr', 'avant', 'et', 'en', 'la', 'pa']",2.0
"['excellent', 'attention', 'friendly', 'professional', 'staff', 'thorough', 'comfortable', 'exam']",2.0
"['dentist', 'care', 'her', 'patient', 'her', 'one', 'word', 'answer', 'reply', 'she', 'rude', 'even', 'know', 'work', 'her', 'she', 'called', 'her', 'assistant', 'different', 'name', 'matter', '15', 'minute', 'she', 'pulled', 'bad', 'tooth', 'month', 'ago', 'since', 'pulled', 'big', 'piece', 'still', 'logged', 'gum', 'she', 'left', 'behind', 'jaw', 'gum', 'still', 'hurting', 'still', 'bleed', 'every', 'she', 'treated', 'like', 'piece', 'used', 'mass', 'health', 'not', 'recommend', 'anyone', 'go', 'her', 'nobody', 'experience', 'pain', 'going', 'after', 'seeing', 'her']",0.0
"['professional', 'attentive', 'pain', 'office', 'run', 'well', 'everyone', 'treated', 'respect']",2.0
"['impressed', 'he', 'explains', 'procedure', 'detailed', 'manner', ""he's"", 'calm', 'confident', 'felt', 'ease', 'within', 'minute', 'interaction', 'recommend', 'him']",2.0
"['absolute', 'joke', 'medical', 'industry', 'he', 'took', 'lot', 'money', 'never', 'see', 'advice', 'take', 'health', 'hand', 'deal', 'doctor', 'like']",0.0
"['impressed', 'his', 'quick', 'accurate', 'diagnosis', ""husband's"", 'problem', 'after', 'him', 'hospital', 'another', 'province', 'twelve', 'day', 'without', 'significant', 'progress', 'he', 'clear', 'explaining', 'full', 'extent', 'going', 'quick', 'get', 'thing', 'taken', 'care', 'properly', 'during', 'his', 'call', 'home', 'morning', 'after', 'day', 'surgery', 'check', 'thing', 'gone', 'overnight', 'he', 'able', 'tell', 'u', 'breathing', 'problem', 'husband', 'not', 'usual', 'go', 'emergency', 'led', 'diagnosis', 'pneumonia', 'lung', 'able', 'explain', 'plainly', 'may', 'acquired', 'during', 'surgery', 'condition', 'treated', 'effectively', 'staff', 'within', 'day', 'appointment', 'four', 'week', 'later', 'friendly', 'easy', 'talk', 'advised', 'u', 'contact', 'him', 'immediately', 'new', 'issue', 'arose', 'happy', 'his', 'professionalism', 'handling', 'entire', 'case', 'like', 'thank', 'him', 'staff', 'helped', 'way']",2.0
"['staff', 'efficient', 'accommodating', 'waiting', 'hour', 'plus', 'appointment', 'indicates', 'scheduling', 'issue', 'however']",1.0
"['husband', 'operated', 'brain', 'everything', 'could', 'go', 'wrong', 'go', 'wrong', 'believe', 'doctor', 'good', 'man', 'care', 'husband', 'received', 'time', 'he', 'negligent', 'despite', 'repeated', 'attempt', 'discover', 'exactly', 'wrong', 'husband', 'discovered', 'whole', 'truth', 'day', 'before', 'he', 'died', 'hope', 'learned', 'giving', 'false', 'hope', 'make', 'harder', 'family', '28,2017']",1.0
"['after', 'dealing', 'several', 'rushed', 'disinterested', 'optometrist', 'guy', 'refreshing', 'change', 'he', 'took', 'his', 'time', 'job', 'right', 'took', 'time', 'answer', 'question', 'go', 'anywhere', 'else']",2.0
"['husband', 'patient', 'year', 'she', 'always', 'shown', 'nothing', 'professionalism', 'practice', 'dermatology', 'fact', 'consider', 'after', 'several', 'bout', 'skin', 'cancer', 'owe', 'her', 'continuing', 'health', 'highly', 'recommended', 'part']",2.0
"['sinus', 'problem', 'year', 'two', 'previous', 'surgery', 'blockage', 'reoccurred', 'within', 'week', 'procedure', 'option', 'treatment', 'oral', 'taken', 'every', 'three', 'month', 'ten', 'day', 'period', 'whilst', 'treatment', 'highly', 'effective', 'not', 'good', 'option', 'long', 'term', 'terrible', 'side', 'effect', 'advised', 'he', 'successfully', 'treated', 'couple', 'seek', 'help', 'professor', 'nit', 'well', 'two', 'year', 'polyp', 'longer', 'problem', 'normal', 'sense', 'smell', 'mean', 'sense', 'taste', 'back', 'normal', 'real', 'advantage', 'breathe', 'normally', 'rather', 'blocked', 'longer', 'reaching', 'tissue', 'box', 'whilst', 'surgery', 'far', 'radical', 'totally', 'painless', 'much', 'successful', 'previously', 'due', 'current', 'daily', 'treatment', 'able', 'access', 'far', 'greater', 'area', 'sinus', 'bone', 'removed', 'instead', 'take', 'regular', 'treatment', 'oral', 'use', 'saline', 'sinus', 'rinse', 'added', 'rinse', 'side', 'effect', 'far', 'concerned', 'miracle', 'say', 'professor', 'one', 'nicest', 'caring', 'efficient', 'doctor', 'ever', 'dealt', 'post', 'operative', 'visit', 'painless', 'case', 'surgery', 'highly', 'successful']",2.0
"['after', 'great', 'experience', 'back', 'home', 'hard', 'find', 'good', 'dentist', 'dentist', 'forget', 'one', 'friend', 'recommended', 'even', 'live', 'always', 'go']",2.0
"['ask', 'post', 'review', 'social', 'medium', 'along', 'others', 'simply', 'follower', 'not', 'even', 'real', ""patient's"", 'nothing', 'positive', 'say', 'experience', 'operation', 'took', 'place', '25', '2017', 'aftercare', 'three', 'day', 'process', 'leave', 'phone', 'call', 'not', 'take', 'place', 'monitoring', 'dangerous', 'recovery', 'grateful', 'everyday', 'still', 'alive', 'nothing', 'issue', 'arose', 'day', 'one', 'given', 'god', 'pray', 'hard', 'daily', 'his', 'healing', 'answer', 'could', 'go', 'feel', 'not', 'closely', 'monitored', 'after', 'major', 'operation', 'extremely', 'dangerous', 'knew', 'little', 'whole', 'matter', 'still', 'remain', 'shock', 'dangerous', 'truly', 'believe', 'belong', 'hospital', 'period', 'after', 'operation', 'anything', 'le', 'deadly', 'dangerous', 'behavior', 'much', 'hope', 'realize', 'danger', 'put', 'not', 'recommend', 'procedure', 'mesh', 'removal', 'without', 'close', 'monitoring', 'well', 'full', 'care', 'medical', 'staff']",0.0
"['after', 'money', 'infusion', 'done', 'not', 'work', 'price', 'ridiculously', 'high', 'treatment', 'not', 'work', 'not', 'mix', 'infusion', 'according', 'said', 'dos', 'thus', 'keep', 'going', 'infusion', 'effective', 'place', 'after', 'money', 'not', 'go', 'cosmetic', 'image', 'clinic']",0.0
"['originally', 'went', 'doctor', '2016', 'get', 'information', 'issue', 'neck', 'area', 'jowl', 'somehow', 'thing', 'moved', 'quickly', 'walked', 'after', 'getting', 'cost', 'almost', '10,000', 'worked', 'fine', 'cost', '4500', 'waste', 'money', 'she', 'coming', 'back', 'her', 'office', 'almost', 'monthly', 'bi', 'monthly', 'base', 'year', 'telling', 'soon', 'see', 'improvement', 'told', 'get', 'never', 'happened', 'worst', 'part', 'she', 'offered', 'cost', 'see', 'better', 'result', 'plastic', 'surgery', 'really', 'compassion', 'offering', 'treatment', 'lower', 'price', 'she', 'originally', 'misled', 'telling', 'see', 'great', 'change', 'she', 'lost', 'client', 'opinion', 'she', 'good', 'probably', 'doctor']",1.0
"['brought', 'month', 'old', 'daughter', 'concern', 'her', 'eye', 'her', 'paediatrician', 'disregarding', 'figured', 'going', 'optometrist', 'provide', 'peace', 'mind', 'accommodating', 'seeing', 'u', 'right', 'away', 'always', 'kind', 'however', 'he', 'seem', 'take', 'time', 'properly', 'ass', 'situation', 'he', 'look', 'long', 'seem', 'interested', 'photo', 'brought', 'back', 'concern', 'he', 'said', 'she', 'fine', 'come', 'back', 'month', 'still', 'concerned', 'brought', 'her', 'ophthalmologist', 'she', 'referred', 'sick', 'kid', 'eye', 'clinic', 'serious', 'eye', 'condition', 'day', 'he', 'missed', 'serious', 'diagnosis', 'her', 'registered', 'legally', 'blind', 'life', 'nice', 'man', 'sure', ""he's"", 'good', 'lot', 'he', 'case', 'he', 'failed', 'take', 'appropriate', 'time', 'accurately', 'ass', 'situation', 'reason', 'he', 'missed', 'he', 'able', 'see', 'enough', 'she', 'cooperating', 'week', 'old', 'after', 'he', 'referred', 'her', 'ophthalmologist', 'instead', 'saying', 'everything', 'okay', 'concerned']",1.0
"['generally', 'keep', 'busy', 'schedule', 'he', 'like', 'attentive', 'question', 'pay', 'attention', 'kiddo', 'well', 'tends', 'conservative', 'care', 'difficult', 'get', 'sick', 'appointment', 'arc', 'pf', 'office', 'completely', 'crap', 'seen', 'better', 'visit', 'arc']",1.0
"['difficult', 'time', 'told', 'reception', 'could', 'take', 'home', 'after', 'surgery', 'instruction', 'etc', 'told', 'could', 'eat', 'anything', 'ended', 'serious', 'infection', 'swallow', 'eat', 'one', 'care', 'either', 'made', 'unit', 'treated', 'poorly', 'receptionist', 'put', 'herself', 'before', 'saying', 'fine', 'attitude', 'rude', 'really']",1.0
"['professional', 'professional', 'thorough', 'confident', 'help', 'thanks', 'help']",2.0
"['returned', 'several', 'time', 'issue', 'last', 'time', 'he', 'though', 'nervous', 'turned', 'not', 'get', 'rid', 'infection', 'hospitalized', 'called', 'him', 'hospital', 'little', 'concern', 'him', 'went', 'chief', 'colon', 'found', 'serious', 'condition', 'thanks', 'surgery']",1.0
"['stay', 'away', 'get', 'stuck', 'his', 'pa', 'after', 'going', 'three', 'doctor', 'different', 'opinion', 'say', 'his', 'pa', 'know', ""he's"", 'health', 'risk', 'wrong', 'terrible', 'advice', 'zero', 'knowledge', 'condition']",0.0
"['saw', 'her', 'office', 'her', 'staff', 'amazing', 'she', 'fixed', 'within', 'week', 'returned', 'gym', 'back', 'work']",2.0
"['happy', 'office', 'made', 'possible', 'get', 'see', 'doctor', 'pain', 'severe', 'could', 'hardly', 'walk', 'needed', 'someone', 'drive', 'pa', 'gave', 'injection', 'day', 'pain']",2.0
"['experience', 'patient', 'not', 'good', 'he', 'smile', 'nod', 'pretend', 'listen', 'he', 'he', 'fraud', 'taking', 'life', 'hand', 'him', 'he', 'clue', 'he', 'first', 'medication', 'helpful', 'he', 'kept', 'increasing', 'pain', 'pill', 'point', 'not', 'therapeutic', 'anymore', 'harm', 'good', 'he', 'disciplinary', 'action', 'check', 'college', 'physician', 'surgeon', 'website', 'he', 'need', 'supervised', 'time', 'due', 'inappropriate', 'behavior', 'prescribing', 'he', 'literally', 'need', 'babysitter', 'work', 'make', 'sure', 'he', 'not', 'going', 'hurt', 'public', 'wow', 'must', 'put', 'damper', 'his', 'huge', 'ego', 'he', 'le', 'flirting', 'work', 'maybe', 'he', 'productive', 'better', 'doctor', 'his', 'staff', 'rude', 'receptionist', 'even', 'answer', 'phone', 'make', 'appointment', 'frustration', 'after', 'calling', 'two', 'day', 'answer', 'drive', 'make', 'appointment', 'get', 'first', 'appointment', 'morning', 'after', 'lunch', 'waiting', 'least', 'two', 'hour', 'see', 'him', 'he', 'respect', 'time', 'he', 'work', 'two', 'day', 'week', 'he', 'triple', 'book', 'cram', 'patient', 'he', 'he', 'get', 'paid', 'he', 'prob', 'pay', 'supervisor', 'supervising', 'him', 'else', 'he', 'lose', 'his', 'wrong', 'profession', 'he', 'actor', 'smile', 'he', 'fake', 'he', 'one', 'minute', 'he', 'smile', 'next', 'he', 'his', 'office', 'swearing', 'his', 'face', 'patient', 'confidentiality', 'non', 'him', 'he', 'often', 'complains', 'patient', 'make', 'wonder', 'he', 'saying', 'think', 'he', 'worst', 'doctor', 'ever', 'wish', 'never', 'let', 'him', 'increase', 'level', 'guess', 'his', 'fault', 'addicted', 'read', 'negative', 'remark', 'reason', 'deleted', 'wonder', 'bet', 'erase', 'one', 'go', 'repost', 'another', 'one', 'everyone', 'know', 'truth', 'him']",0.0
"['one', 'best', 'ever', 'worked', 'he', 'helped', 'immensely', 'he', 'always', 'available', 'he', 'well', 'known', 'his', 'industry']",2.0
"['rescheduled', 'surgical', 'procedure', 'couple', 'day', 'advance', 'knowing', 'leaving', 'country', 'mo', 'urgency', 'procedure', ""he's"", 'unprofessional', 'his', 'receptionist', 'rude']",0.0
"['butler', 'caring', 'compassionate', 'extremely', 'knowledgeable', 'win', 'his', 'field', 'trust', 'him', 'completely']",2.0
"['exactly', 'gone', 'ton', 'psychologist', 'therapist', 'saw', 'someone', 'before', 'doctor', 'always', 'felt', 'comfortable', 'calling', 'him', 'he', 'made', 'feel', 'comfortable', 'his', 'presence', 'seen', 'couple', 'people', 'since', 'said', 'specialize', 'issue', 'dealing', 'time', 'seems', 'one', 'connect', 'feeling', 'genuine', 'empathy', 'warmth', 'first', 'time', 'he', 'called', 'back', 'set', 'appointment', 'know', 'able', 'see', 'anyone', 'else', 'seem', 'get', 'quite', 'stopped', 'seeing', 'him', 'bit', 'due', 'money', 'issue', 'private', 'practice', 'similar', 'rate', 'felt', 'like', 'improving', 'immensely', 'however', 'ever', 'needed', 'help', 'handling', 'difficult', 'situation', 'he', 'one', 'call', 'he', 'compassionate', 'understanding', 'challenged', 'gradually', 'within', 'limit', 'way', 'change', 'happen', '10', '10', 'recommend']",2.0
"['excellent', 'talked', 'keep', 'calm', 'before', 'fell', 'asleep', 'problem', 'during', 'after', 'wisdom', 'teeth', 'extraction']",2.0
"['clinic', '17', 'last', 'appointment', 'pm', 'asked', 'fill', 'consent', 'form', 'quite', 'number', 'question', 'concern', 'frozen', 'shoulder', 'problem', 'sign', 'form', 'first', 'visit', 'acupuncture', 'therapy', 'wanted', 'get', 'clear', 'concern', 'before', 'therapy', 'she', 'rushed', 'room', 'before', 'even', 'explained', 'her', 'properly', 'health', 'problem', 'asked', 'lay', 'table', 'taken', 'ultrasound', 'result', 'gave', 'her', 'she', 'even', 'look', 'before', 'she', 'could', 'pin', 'needle', 'asked', 'much', 'she', 'charge', 'want', 'get', 'surprised', 'paid', 'she', 'told', 'pay', '70', 'consultation', 'free', 'wondered', 'she', 'even', 'given', 'consultation', 'she', 'asked', 'lay', 'left', 'side', 'not', 'move', 'she', 'pinned', 'needle', 'shoulder', 'middle', 'back', 'she', 'left', 'room', 'saying', 'she', 'come', 'after', '20', 'min', 'she', 'came', 'back', 'she', 'noticed', 'she', 'even', 'turned', 'heater', 'heat', 'needled', 'area', 'concerned', 'during', 'moment', '20', 'min', 'she', 'came', 'unpinned', 'needle', 'she', 'applied', 'aromatic', 'oil', 'shoulder', 'not', 'back', 'sensed', 'she', 'obviously', 'rush', 'she', 'left', 'needle', 'back', 'notice', 'painful', 'threw', 'top', 'paid', 'fee', 'leave', 'needle', 'still', 'back', 'driving', 'tolerate', 'pain', 'needle', 'caused', 'tear', 'rolled', 'cheek', 'even', '001', 'doubt', 'practice', 'acupuncture', 'therapy', 'totally', 'believed', 'back', 'weakness', 'after', 'reaching', 'home', 'threw', 'couch', 'oh', 'god', 'wished', 'one', 'experience', 'agonizing', 'moment', 'cried', 'cried', 'not', 'knowing', 'approach', 'called', 'daughter', 'check', 'swelling', 'back', 'surprise', 'she', 'shouted', 'mom', 'needle', 'honestly', 'felt', 'like', 'jumped', 'hell', 'she', 'took', 'needle', 'taken', 'photo', 'pain', 'undergone', 'day', 'losing', 'sleep', 'one', 'imagine', 'way', 'tried', 'blame', 'happened', 'much', 'irritating', 'she', 'made', 'excuse', 'tried', 'convince', 'she', 'left', 'needle', 'moved', 'she', 'unpinned', 'even', 'moved', 'she', 'even', 'told', 'anything', 'unpinning', 'great', 'escapism', 'protect', 'her', 'business', 'concerned', 'her', 'negligence', 'service', 'health', 'consequence', 'going', 'face', 'future', 'she', 'sent', 'refund', 'check', 'note', 'telling', 'she', 'cover', 'first', 'two', 'physiotherapy', 'fee', 'talking', 'lawyer', 'let', 'see', 'lame', 'excuse', 'she', 'come']",0.0
"[""doctor's"", 'reminds', 'sausage', 'factory', 'his', 'room', 'ct', 'scan', 'place', 'probably', 'explains', 'he', 'could', 'not', 'find', 'mine', 'not', 'particularly', 'attentive', 'rushed', 'door', 'before', 'could', 'finish', 'asking', 'question', 'consult', 'approx', '10', 'minute', 'charge', '350', 'rushed', '10', 'minute', 'conversation', 'decided', 'proceed', 'spinal', 'surgery', 'operation', 'pain', 'management', 'issue', 'his', 'paperwork', 'instructs', 'patient', 'call', 'his', 'office', 'cannot', 'control', 'pain', 'called', 'his', 'office', 'time', 'day', 'occasion', 'receptionist', 'told', 'return', 'call', 'immediately', 'he', 'never', 'go', 'see', 'order', 'issue', 'addressed', 'experience', 'doctor', 'charge', 'excessive', 'fee', 'not', 'his', 'commitment', 'provide', 'pain', 'management', 'advice', 'nonce', 'credit', 'card', 'swiped', 'he', 'appears', 'lose', 'interest']",0.0
"['great', 'surgeon', 'saw', 'him', 'first', 'his', 'consulting', 'room', 'he', 'explained', 'detail', 'scan', 'condition', 'knew', 'surgery', 'best', 'option', 'went', 'ahead', 'his', 'staff', 'helpful', 'disc', 'paperwork', 'every', 'time', 'called', 'receptionist', 'answer', 'query', 'made', 'smooth', 'process', 'spoke', 'family', 'month', 'post', 'surgery', 'express', 'thanks', 'doc']",2.0
"['person', 'not', 'doctor', 'he', 'started', 'class', '2005', 'he', 'indeed', 'attend', 'medical', 'school', 'year', 'he', 'not', 'pas', 'class', 'he', 'not', 'intelligent', 'enough', 'keep', 'material', 'he', 'failed', 'faded', 'away', 'after', 'couple', 'year', 'he', 'showed', 'back', 'radar', 'year', 'ago', 'fellow', 'colleague', 'graduated', 'medical', 'school', 'shocked', 'disgusted', 'see', 'he', 'back', 'calling', 'himself', 'doctor', 'fake', 'medical', 'degree', 'printed', 'causing', 'injurious', 'bodily', 'harm', 'innocent', 'patient', 'person', 'need', 'stopped', 'immediately', 'he', 'shape', 'form', 'type', 'medical', 'professional', 'people', 'steer', 'clear', 'type', 'contact', 'incompetent', 'buffoon']",0.0
"['worst', 'doctor', 'life', 'went', 'clinic', 'diagnosed', 'even', 'care', 'useless', 'expensive', 'test', 'please', 'find', 'someone', 'treat', 'patient', 'not', 'bank', 'account']",0.0
"['excellent', 'service', 'extremely', 'happy', 'his', 'care', 'take', 'his', 'time', 'visit', 'thorough', 'full', 'trust', 'confidence', 'lovely', 'man']",2.0
"['amazing', 'doctor', 'helpful', 'kind', 'explains', 'going', 'really', 'well', 'care']",2.0
"['waited', 'hour', 'waiting', 'room', 'adorned', 'image', 'before', 'told', 'least', 'another', 'hour', 'before', 'see', 'told', 'receptionist', 'could', 'not', 'wait', 'long', 'reschedule', 'day', 'she', 'indicated', 'typical', 'day', 'not', 'apologize', 'inconvenience', 'job', 'anywhere', 'else', 'go', 'see', 'otherwise', 'waste', 'time', 'like']",0.0
"['nasty', 'arrogant', 'impatient', 'listen', 'understand', 'consider', 'side', 'conflict', 'relation', 'therapy', 'even', 'worst', 'child', 'therapy', 'threatens', 'child', 'patient', 'give', 'hostile', 'advises', 'parent', 'creating', 'problem', 'bad', 'relation', 'child', 'parent']",0.0
"['worst', 'doctor', 'go', 'him', 'help', 'review', 'staff', 'get', 'go']",0.0
"['she', 'nice', 'spends', 'time', 'listening']",1.0
"['lovely', 'knowledgeable', 'friendly', 'however', 'past', 'time', 'her', 'surgery', 'wait', 'long', 'past', 'appointment', 'time', 'see', 'her', 'last', 'visit', 'called', 'morning', 'given', 'appointment', 'day', 'great', 'left', 'waiting', '40', 'minute', 'before', 'saw', 'her', 'great', 'doctor', 'change', 'receptionist', 'book', 'appointment', 'know', 'doctor', 'keep', 'within', 'reasonable', 'time']",1.0
"['ling', 'professional', 'efficient', 'acupuncturist', 'she', 'knowledgeable', 'medicine', 'confident', 'her', 'skill', 'experience', 'excellent', 'starting', 'her', 'team', 'friendly', 'professional', 'moment', 'enter', 'office', 'she', 'knowledgeable', 'caring', 'professional', 'doctor', 'problem', 'recommending', 'woman', 'health', 'issue', 'energy', 'level', 'greatly', 'improved', 'looked', 'carefully', 'traditional', 'medicine', 'practitioner', 'area', 'chose', 'her', 'her', 'qualification', 'highly', 'trained', 'well', 'acupuncturist', 'glad', 'chose', 'her', 'quality', 'life', 'improved', 'immensely', 'since', 'started', 'seeing', 'ling', 'her', 'associate', 'highly', 'recommend', 'her', 'staff', 'anyone', 'seeking', 'truly', 'compassionate', 'knowledgeable', 'doctor']",1.0
