commentText,sentiment
compassionate care truly comforts want express heartfelt appreciation entire nursing staff advanced nurse practitioners anps practice moment walk door feel genuinely cared supported ’ truly reassuring know healthcare providers highly skilled also deeply compassionate experiencing level kindness dedication put ease even stressful times see much genuinely care wellbeing attentive kind encouraging team every interaction nurses anps marked genuine warmth patience team member consistently goes beyond caring patients qualities make nursing team exceptional include • gentle kind – approach every interaction warmth tenderness making feel comfortable ease • encouraging supportive – always provide uplifting encouragement gives confidence helps stay positive care • attentive listeners – nurse anp takes time listen carefully concerns ensuring feel heard understood • reassuring presence – offer constant reassurance easing anxieties giving peace mind health qualities make nursing team truly outstanding turn every visit positive experience lasting impact heartfelt thanks dedicated caring team looking made lasting impact healthcare journey incredibly reassuring know good hands whenever need care wish could thank nurse anp name deserve special recognition outstanding care heart filled gratitude every member team absolutely love appreciate comfort hope given thank entire nursing anp team work,positive
already appointment booked nurse change dressing used anima different issue got slotted go appointment nurse yes wait bit prepared,positive
ongoing family issue resolved practice took time listen understand action staff always friendly practice everything support,positive
dr puvanagopan helpful referral well im pleased surgery gp thank much dr puvanagopan,positive
apportionment daughter yesterday positive gp spoke listened concerns agreed immediate plan agreed actions left feeling supported heard thank,positive
appointment dr excellent previous appointment nurse 2 call back appointments less useful,positive
associate nurse professional pleasant made comfortable procedure underwent,positive
covid booster delivered practice process smooth well organised helpers friendly clinical staff informative reassuring,positive
helpful timely responses submitted query online efficient friendly service getting flu vaccine today,positive
saw j practice nurse today 18924she gave good medical service pleased examination thank,positive
flu pneumonia jabs morning excellent service well done everyone run clinic,positive
recently worrying health problem lovely receptionist acted quickly speaking emergency team received phone call brilliant nurse practitioner sent ambulance ’ praise wansford practice enough want say big thank patient ten years never fail continue give excellent service ’ lucky patient practice,positive
nervous recent blood test kind gentle nurse got bloods straight away great service left feeling happy reassured thank,positive
nurse extremely helpful took time ask questions give advice addition carrying smear test gently carefully happy see,positive
team lodge extremely helpful getting doctors appointment doctor took time make sure im getting right treatment,positive
admin staff friendly helpful nurse injection also nice helpful,positive
able make appointment discuss hrt womens health nurse informative efficient helpful,positive
made appointment first attempt ’ wait delays happy consultation proactive clinician physiotherapy appointment set shortly leaving surgery good experience,positive
given changed since covid practice adapted well new services dont always understand works appreciate numbers queue worksand im grateful,positive
filled klinik request early evening back 830am appointment 950am doctor prescribed medication gp walkin xrays macclesfield hospitalattended hospital following morning xrays iin within 20 minutes fantastic service,positive
today visited watford health centre received excellent service physiotherapist highly professional displaying outstanding knowledge well empathetic friendly felt genuinely cared supported visit,positive
witng time waiting room minimal doctor welcoming pleasant time listen concerns application cream treatment doctor guided correct applicaciot cream,positive
visit arranged surgeryvery nice little surgery problem parking acknowledged walked although late seen due previous patient permitted take husband mobile doctor attentive listened concerns visit advice given recorded airmid next day thank,positive
booking easy although wasnt urgent doctor little behind extremely thorough obviously caring,positive
friendly caring staff minutes waiting name called highly recommend yardley wood health centre ’ professional caring services pharmacy next door,positive
story long im petrified medical intervention took year half get guts book appointment tonight saw lovely female clinician listened took seriously cant thank enough seriously hope permanent addition,positive
recently appointment gp pathfinder clinics part pregnancy care thoroughly impressed service received needed book appointment used automated call handler connected immediately—no waiting around great completed online consultation form provide details ahead visit straightforward process received confirmation call within 20 minutes appointment scheduled day appointment gp attentive providing necessary information answering questions later evening remembered additional concern sent message via whatsapp service response incredibly quick really put mind ease recent experience reinforced efficient responsive gp pathfinder clinics especially someone like needs regular care ’ satisfied level support received,positive
thankyou much brilliant staff helped podiatrist appointment checked feet treated diabetic condition professionalism courtesy wonderful job seven kings clinic,positive
receptionist dealt query prescription actioned sorted quickly prescription promptly thank good service,positive
waited queue number 20 within 10 minutes given appointment see nurse practitioner advice prescription given advice return necessarywithin week seen doctor issued another prescription ordered blood tests receptionists arranged appointments friendly professional good see photos staff,positive
pleased receive telephone call gp able discuss various options medication always grateful empathetic service provided reception team,positive
vasectomy practice dr nurse fantastic chatty professional putting ease throughout,positive
huge thank medical records team proactive effective ensuring details reviewed clarification corrective actions applied quickly completion follow communications greatly appreciated,positive
excellent consultation gp genuinely listened concerns making feel heard understood instead dictating treatment plan took time explain various medication options discussing pros cons potential side effects clear approachable way thoughtful approach made feel empowered make informed decisions health warm kind patient never rushing refreshing experience truly appreciated giving time attention needed address concerns thoroughly wonderful doctor,positive
entire experience moment walked fantastic nurse knowledgeable also took time address questions concerns pleasant helpful always leave clinic feeling confident care received,positive
blood tests urine tests heart ecg preformed great care lots information explained everything well room 12a 1530 pm,positive
amazed went morning walk clinic sure needed see gp consultation blood tests routine smear test well hour everyone friendly professional reassuring ive patient wimpole road since 2003 always good thought experience impressive needed share huge thank receptionist doctor nurse involved,positive
nurse saw faultless friendlywelcoming lovely bubbly personality made feel welcome,positive
clinic running 10 minutes late thoroughly examined information explained plain english,positive
staff knowle green helpful sick brother condition deteriorated carer noticed staff nothing difficult try resolve issues doctors appointments seeing specialists guidance hospitals given doctor supportive treatments trying get relevant people diagnose issues thank,positive
doctors hole life always able get appointment caring professional,positive
always good response consultations waiting times phone nightmare criticism time takes book appointment seen staff dispensary sutton benger also friendly helpful,positive
impressed efficient practice received gp phone call 9am bloods ecg carried 12pm face face gp appointment day followed results via text 830am following day friendly professional staff,positive
arrived appointed time greeted nicely pointed room injection doctor nurse greeted asked birthday name given option arm wanted flu injection covid would go arm done left time taken 5 minutes arrival leaving,positive
quick clear communication options services use happy service received,positive
put visiting gp however ’ worried ’ wait couple minutes doctor ’ make feel rush reassuring made relevant referral many thanks lime tree goring surgery,positive
14225 rang receptionist personable helpful 18225 appointment see nurse professional 21225 appointment see dr examination referred royal hospital received appointment date referral letter day pleased service big thanyou round,positive
past 2 months found much easier access gps nurses blood testing etc new procedure using forms request see gp made huge difference days horrendous stressful waiting get phone 8 queueing outside door seem thank improvements made gps nurses fabulous receptionists hard job also seem relaxed helpful,positive
although standard appointments protracted urgent ones arranged quickly care empathetic doctors approachable,positive
attended saturday covid flu vaccination clinic extremely efficiently run always appalling 55 people shows people could inoculations,positive
everything went fine doctor polite explained everything left understanding everything said,positive
saw pharmacist last month face face professional kind set plan got back review situation added new medication line pharmacy missed call phoned back got straight system work,positive
impressed quality speed care provided leatside gp consultation 9 days ago referred diagnosis confirmed endoscopy 2 days ago leatside issued prescription today health care best,positive
easy asking appointment np consultation nice kind unfortunately gp found timing appointment reduced 08001200 cant block whole morning appointment lasts phone 5 minutes could please look take half day leave telephone app also prescription transferred hey pharmacist app old one form last year still tried everything know fix success consume clinical time 6 months need repeat prescription understand frustrations working systems asking please look otherwise always found lime tree phoenix practice really professional helpful thank hard work,positive
feel fortunate fantastic practice caring staff always happy support reassure thorough following thank much,positive
dr pleasant efficient introduced listened say would definitely see doctor difficulty getting appointment ti wait 7 weeks fir appointment,positive
treated well took time hear concerns advise treatment require,positive
health issues covid bereavement doctor saw took time try get bottom things took appointments blood tests right treatment feel much better like thank,positive
prolapse saw gp quickly received thorough examination day gp telephoned discuss health complaint great explanation possibilities referred hospital couldnt satisfied service,positive
persons answering phone helpful pleasant make whole experience straightforward manage solve problems lady dealt today professional friendly even wished nice holiday book appointment fit holiday also previously month spoken pharmacist also helpful solved problem appropriate medication could find fault anything,positive
telephoned practice concern newly discovered lump received telephone consultation less hour later seen person two hours later swift action greatly appreciated long term patient lodge highly recommend well done whole team,positive
quickness efficiency whole operation vaccinated way home within 5 minutes nurse cheerful excellent administration two vaccines,positive
good assistance listened heslth issues talked thru could help gave good suggestions,positive
family consistently good support lonsdale recently went patient access site two problems relating knee injury medical issue received two appointments within 24 hours next week physiotherapist really excellent explained things needed sent exercise plans doctor usual one gave clear evidencebased advice reassurance would add usual gp past fifteen years magnificent receives outstanding reviews many friends medical ordeals patient access excellent providing full medical history investigations going back several years repeat prescriptions easy get hyperchem also excellent free us 65 summary superb primary care free point delivery americans would astonished must always support investment multidisciplinary primary care backbone effective nhs,positive
dr wish could name incredible staff millbank havent really need visit surgery needed called within 20 minutes appointments made mri scans days follow amazing calls see kind timely know everyone experience nhs mine excellent millbank medical happy patient excellent practice thank,positive
attended practice scan pelvis today ’ fault treated friendly supportive would recommend anyone,positive
really came away nurse appointment feeling positive encouraging self care efforts treat explained things clearly appreciated approach rushing prescribe antibiotics needed also helping think prevent problem recurring,positive
son preschoool injections morning prepared prior visit impressed nurse saw also took time explain child friendly way going result absolutely tears calm lovely visit always receive fantastic care whenever us treated surgery feel lucky local practice,positive
new patient large number medicines nervous change oaks however treated respect incredible efficiency totally ease withe practice,positive
constipated past year sorts doctors checking still avail several stools tests gp surgery terrible service 1st mistake last summer gave wrong container put 6 weeks ago late february sample ’ even tested ’ labelled properly ’ even told ’ ask doctor week results told happened couple days ago repeated yet told want labelled properly tested doctor new happened last time said labelled sure blame lies someone competent surgery check samples handed make sure mistake ’ repeated yet ’ give another sample suffering constipation sometimes difficult task never mind obvious procedure preparing stool sample normally really pleased gp surgery matter find incredibly frustrating better sobell medical centre,positive
polite receptionists got appointment needed gp thorough would recommended surgery,positive
prompt excellent service given appointment day requested doctors occasions extremely helpful knowledgeable impressive,positive
phoned 830 seen 11am picked prescription 1130 exactly gp practice work,positive
call gp information tests found reasuring given plenty time ask questions given honest clear answers naturally anxious prior phone call soon relaxed gp easy talk thank,positive
nhs website notice surgery door says practice open wednesdays 0830 1830 today several people car park finding closed,positive
every time contact surgery concern question receive call within hours matter discussed reviewed dealt quickly efficiently,positive
really noticeable difference improved quality practices handling callers recent contact two different members practice team one call handling call back response e consult excellent clear calm informed great customer care skills communication big big improvement id put contacting surgery lengthy waits poor quality call management theyve renewed faith keep working,positive
wish express gratitude excellent ongoing august 2022 care attention received doctor thank listening patience resolving many health issues would also like thank nurses pharmacist receptionists helpful many queries thank,positive
experience gp always friendly helpful informative saw gp today steroid injection shoulder extremely professional whilst welcoming reassuring pleased,positive
normally attend glenlea doctors went blood test west lodge know one nurses good needle also carried annual review kind friendly managed get blood sample relatively easily quite feat given past history,positive
waiting list weeks speak dr unexpectedly call today offering telephone consultation different dr within next couple hoursi received call within half hourthe doctor friendly politeexplained everything thoroughly referred xrays investigations thankyou kind receptionist phoned doctor thorough,positive
though practice extremely busy able get appointment issue dr nurse staff professional,positive
called monday morning given face face appointment 930am day usual received excellent care attention felt listened symptoms leaving surgery immediately picked prescription local chemist amazing service feel fortunate patient gp practice doctors professional receptionists also helpful even difficult lockdown situations service amazing,positive
understanding doctor understood challengers daily impact life referred without question,positive
doctor totally understanding concerns gave confidence listened tests immediately put place avoid complacency doctor appointment booked review results,positive
doctor called back within minutes address poblem felt valued respected consultation happy outcome consultation,positive
went see nurse surgery today get inr check nurse professional understanding approach problems inr always problem keep even level nurse understanding issues minor adjustments always seems get back tracki also mentioned worries health nurse went beyond answer questions put ease wish could name nurse allowed due nhs policy personally think dealing patient issues reassuring nurse understands listen ’ mine could happier treatment receive every visit keep good work thank,positive
rang surgery need help getting appropriate care physical mental health problems lady spoke really patient checked systems talked online portal could use future really appreciated stayed phone online checked would able use,positive
annual health review month ago requested tests happened within days first tests results raised cause concern ’ astounded fast firstly results came back speed tests happened spoke phone call doctor redbank immediately gave urgent referral dermatologist images taken within daysi results second tests examined another doctor redbank urgently referred specialist examinations different field within days spoke specialist nurse week later ct scan ’ awaiting results necessary tests carried although ’ worrying time would like take opportunity thank redbank group practice amazing speed tests referrals carried firstly recognising potential problems extremely grateful complete care efficiency although ’ worrying time ’ think care could better reassuring throughout ’ thank redbank group practice enough feel lucky patient,positive
test copd dr lovely warned first ’ difficult lot blowing tube untill ’ saying enough info happy whole experience dr noticed looked lot better explained decided proactive looking health since diagnosis ’ taking serious building immune system losing weight time ’ glad noticed difference since last saw xmas reassured ’ working comment made day,positive
jasmine cantos really professional friendly nervous blood taken calmed able draw blood hand previously techniques worked really kind knowledgable thank jasmine,positive
swapped surgery difference like night day beversbrook welcoming war friendly super efficient getgo finally able access care swiftly without previous stress upset 1010,positive
told needed medication review given time date could change required review took place phone within 5 mins scheduled time,positive
one morning 815 october filled online form requesting gp appointment within 10 minutes got phone call booking 1010am face face appointment morning absolutely outstanding gp saw also lovely introducing first name putting ease straight away,positive
helpful lady reception morning asked provide print patient summary go blue badge application lady helpful enabling able provide information required,positive
well organised done quickly good last year good vaccines time,positive
seen time appointment clinician professional knowledgeable empathetic kind credit gp practice,positive
always able get appointment ever need staff kind find doctors though never rushed appointments feel lucky registered practice current climate,positive
dressing change hand surgery able get appointment within 48 hours order hve dressing changed practice nurse good took time clean dress surgical site staff denmark road kind respectful work incredibly hard care appreciated,positive
doctor attentive showed care empathy took time actually listen left feelings greatly supported physically emotionally,positive
visited surgery recently valued member team passed away though noticed swollen eyes everyone lovely professional easy working circumstances thank,positive
welcomed family practice desk asked sit waiting areawhere filled form receptionist given fifteen minutes name called taken minor surgery department dr welcomed gave form signed also two nurses room dr checked ok asked lie given small painless injection within seconds surgery dressing put small wound left feeling happy,positive
practice goes beyond help patients offer sameday routine appointments requests triaged gps never four people queuing get reception unlike practices ive heard professional offer wide range services local community also give patients time instead rushing appointment,positive
flu short roll flawless time allocated attend straight well done,positive
pleased service response staff doctors tried book appointment answered immediately got good service,positive
pleased consult dr tests indicated possibility blood urine doctor allayed immediate concerns arranged test 7 days following completion course antibiotics satisfactory consultation,positive
although kept waiting 45 minutes appointment time gp thorough explained things provided different solutions happy experience,positive
sent online form new years eve dr advised would like seen issue day request got appointment within next hours making smooth possible minimally disruptive new years eve plans dr communicated online extremely polite helpful always good experience practice dr thorough answered questions fully much appreciated thank quayside,positive
doctor everything hoped kind calm hugely patient despite end clearly long day read whole history comforting practical helpful advice including things nobody else though im anxious medical visits calmed completely,positive
well organised involved helpful friendly surgery less 2 minutes flu jab,positive
find helpful courteous try sort needs empathy phoning felt listening helping best could,positive
nurse efficient administered shingles needle jab without pain scheduled appointment 1120am bang time described everything went smoothly,positive
nurse makes feel ease soon walk door really amazing professional,positive
call adderley green surgery dont wait long speak someone always get appointment day see nurse receive treatment advise medication needed,positive
appointment today langley health centre gp ’ really great experience consulting dr treated well appointment explained possible causes possible treatment detailed way feel confidence discussing,positive
rang emergency medication ’ forgotten mine away holiday receptionist exceptionally helpful got medication hours conversation thank grateful,positive
blood test taken nurse done expertly also friendly approach difficult acquire appointment many way wish system would go back prepandemic,positive
great team best attend needs thank brandon road surgery desperately needs nhs funding completely demolish old building replace modern facility come nhs team desperately needs modern building work,positive
came shingles vaccination nurse seen time straight forward procedure though odd experience find waiting room large practice empty whole time husband noted waited monday morning,positive
went staples leg hip replacement seen time pleasent nurse gentle removal staples professional,positive
charming receptionist rang back carry compulsory survey making doctor ’ appointment apologetic length depth questions made pleasant short could,positive
staff always helpful always go extra mile help whenever make contact whiteparish surgery staff personable helpful whether ’ organising appointment query prescription,positive
called practice arrange call call came short time gp call suggested gp call came promised face face arranged day seen time given thorough examination plan treatment suggested medication given could ask,positive
nice lady reception lovely man well help registration child wa unwell sorted appointment well,positive
good afternoon wanted highlight experience tuesday morning waiting appointment sat waiting room 30 mins time saw receptionist go beyond claughton medical centre lovely everyone spoke went beyond others elderly vulnerable welcomed people name recognised booked went approach screen save legs etc cheerful happy general please pass feedback kind regards racheal,positive
satisfied visit reception good nurse good communicating really well,positive
past weeks benefit getting advice pharmacist harborne medical practice regarding father ’ medication experience great 3 appointments able get great advice tailored changing circumstances questions answered full would highly recommend service provided,positive
well organised efficient nurse professional friendly thank great idea volunteers helping guide patients,positive
saw doctor personal reason good listener help supported consulting reception staff amazing friendly helpful gave appointment,positive
excellent customer services skills lea wharf reception desk request dealt immediately reassuring assertive manner lady polite cheerful obliging thank happy new year,positive
medical practice superb front reception staff polite friendly always willing help doctors also amazing make feel rushed genuinely caring best help need,positive
quite long wait seen around 35 40 minutes later day every appointment runs 5 mins builds seemed one doctor duty see patients,positive
attended surgery last week ecg bloods seen soon registered didnt wait hca saw kind caring put ease appointment listened health concerns reassuringly explained procedures would happen next results hca ecg took blood professionally left feeling happy health concerns addressed,positive
got non emergency appwith doctor day reception staff professional helpful …i hardly believe made feel …so safe somehow doctor approachable kind lots various dealings practice last year wonderful …in fact could go hope staff give massive pat back hear dreadful stories patients surgeries …some take pinch salt feel grateful park practice lucky enough dealings caring professionals ever …well done genuine thankyou,positive
lengthy waiting time phone get appointment dr listened explained answers questions way could understand left feeing positive whole experience,positive
patient coordinater front door mindful considerate discreet reason really appreciated private matter found helpful getting booked clear needed go get without ’ clue go played key role upon arrival departure nurses doctor saw treatment best evidently took roles seriously actually cried relief first time long time someone actually listened took precautionary measures ensure received correct treatment made efforts make feel comfortable levels professionalism truely flawless,positive
nothing praise team colton mill first contact reception team face face appointments doctors nurses always felt listened valued nothing much trouble patient centred approach attitude invaluable field advice treatment onward referrals helpful timely appropriate fault ongoing care support receiving,positive
used klinik today response prompt appointment gp good response face face appointment discuss urgent issue thank,positive
ive always told people good lodge road surgery morning receptionist ignored long time abruptly told check computer firstly years ago told optional secondly gone collect bp testing kit receptionist told wait phone call coming told ironically machine ready smile pleasant attitude costs nothing patients suffering depression lot people see nobody else day full time carer experience certainly didnt help,positive
gp compassionate thorough another wonderful experience dedicated kind staff practice thank everything,positive
living debilitating digestive condition gall bladder removed decade ago diagnosis ibs bowel irritable 50 years prior surgery perhaps irritation triggered removal gall bladder discussed phone earlier week gp listened agreed may indeed connection loss gall bladder symptoms prescribed medication enhanced quality life dramatically made huge difference health well thank chartfield surgery forever grateful,positive
understanding pharmacist named dealt son severe learning difficulties arrive late written everything go away remember polite agreed stuff future health smoking eating fruit vegetables son happy arrived dealt manner,positive
light fact locala closing todmorden feel must say nothing prompt courteous fantastic service practice feel totally safe hands 93 know act accordingly require help todmorden badly needs gp practice patients,positive
appointment available couple days nurse sensitive gently removed stitches hard attentive submitted request xrays check injuries hand knee,positive
past months several visits practise tests consultationsand cant fault service time span booking actually getting appointmenton last visit whilst understand time constraints felt time allocated enough complete attended forresulting coming away feeling rushed,positive
always helpful quick respond staff gone way support rocky transition one gp pharmacy another moved hilly fields medical centre moved house nightmare rescued one outstanding individual reception desk,positive
sensitivity kindness two nurses getting antibiotics unpleasant dose cystitis,positive
went surgery yesterday extremely busy receptionist manning desk beyond patient calm kind whilst trying deal challenging patients receptionist returned equally kind patient awe waited seen handled navigated high pressure environment ease ladies deserve recognition great work,positive
went blood test ecg nurse efficient friendly put ease straight away,positive
routine smear test felt well looked knowledgeable nurse made feel comfortable able procedure quickly effectively thank,positive
since hit 65 seen surgery proactive health care diagnosed blood pressure issue could done help combating issue,positive
clear answers results well spoken nice talk helpful putting right clinic,positive
consultant helpful pity one receptionists abrupt rude people know registered practice including partner,positive
really enjoy seeing nurse capable pleasure well informative thoracic team gave incorrect details listened continued dress wounds discharge letter ward staff told inconsistent followed device ward given told removed stitches showed nurse great asset practice expert listening patient needs alleviating fears happily attend nurse appointments knowing wonderfully capable competent hands,positive
signed screen minutes later dr came reception recognising invited surgery room discussed problem issued prescription happy treatment,positive
receptionist polite friendly went appointment time doctor seen previously helpful proactive trying find cause issues,positive
follow hospital admission discharged needed lots help diabetes type 2 condition say due attention detail care provided lady doctor surgery insulin able manage condition amazing doctor cared much best place possible thank much 💗,positive
reception staff always professional cheerful accommodating appointment time thorough l felt happier leaving surgery l went doctor professional also human listened attentively answers l gave questions,positive
experience minor surgery clinic willows positive start finish made feel ease entering room soothing background music playing leaving presented brave chocolate coin nice touch lady performed minor surgery made feel ease explaining procedure aftercare advice friendly manner helped nervousness id hesitation procedure carried totally professional way,positive
need cholesterol check blood test easy painless quick time ver satisfactory appointment available surgery ’ need go hospital saved time,positive
visit practice today good nurse practitioner explained everything thoroughly nice helped necessary,positive
patient complex unusual symptoms always treated repect patience thanks staffs knowledge energy support got worst able return activities important many excellent individuals superb teamwork,positive
since transferring doctors whose practice closed impressed surgery pleasant helpful receptionists husband seen one doctors nice wait long appointment arrived also able book covid boosters husband already health check first many years nice environment really glad transferred,positive
attended practice health check part application become foster carer staff doctors incredibly helpful talked process put mind ease whole experience stress free would definitely recommend practice people,positive
feeling ill considerable pain contacted surgery receptionist extremely helpful gave early appointment doctor carefully took history included two consecutive days e considerable experience good judgement enabled came good plan find wrong given uncertainties medical diagnosis treatment good know one rely excellence francis grove surgery,positive
helpful receptionist seen someone day advised best ongoing care plus blood tests taken,positive
given day appointment wait time 20 minutes gp helpful reassured problem,positive
hi due respect im writing say big thanks management staff lawrence hill health centre qualitative care support services within neibour hood over20yrs ive never regret second patient management team delivered excellent care services whenever needed fact anytimeanyday vist present gp listened digest health issues giving body mot reassurance rest mind health worries many thks kind regards pls notethe time given appointments see gp reduced,positive
staff friendly helpful nothing much trouble try provide upmost service rarely wait long,positive
needed emergency appointment fitted within hour cant fault service doctor thorough put mind ease,positive
attend flu jab clinic today staff super efficient time feel rushed brilliant service yet challenging times,positive
responding behalf mother discussed survey mum feels could better support hugely critical access surgery personally made mum aware parking challenges park house transfer digesting frankly real issues mum ’ medication qualified mum often complains whether right ‘ cocktail ’ 90 perhaps additional calls visits would help,positive
caring supportive staff first contact left surgery staff listened acknowledged concerns respect ensured felt comfortable decisions,positive
mot consultation regularly check health although im fairly healthy cholesterol levels checked momentarily went really look reassure fears,positive
doctor thorough actually complete tests referrals etc know need doctor treating ongoing issue keen rebook treatment seamless doctor,positive
initially saw medical student thorough assessment asked gp look referred nhs clinic investigation appointment next week view service received excellent,positive
year 2025 service improving much betterlike staff polite today seen physicians associate polite attentive know ro make feel easeshe maintained privacy dignity procedure done thankful,positive
helpful friendly informative feel like genuine interest patients confident feel safe,positive
appointment week gp patford house partnership experience extremely positive one reception staff welcoming professional delighted caring approach gp saw,positive
seen time take blood without feeling pain good service reception desk,positive
time locum gp practice gp concerned health wellbeing referral made hospital necessary diagnosis xray mri scan blood tests caring patient care wish continue,positive
always gets appointment review went well change tablets phone 1 month see,positive
nothing praise burscough family practice extremely professional reassuring friendly wouldnt hesitate recommend others,positive
appointment lovely nurse asked lots questions came feeling satisfied results,positive
good experience gp kind good sound medical knowledge took blood sample twice successful first attempt well dressed gentle really happy thanks,positive
gp incredibly knowledgeable caring understanding problem provided swift solution staff always polite welcoming highly recommended,positive
attended appointment gp attended compassionate rushing much could see body language welcoming kept reminding rushing manner sorry visit 10mins really understand way felt never felt terribly bad sad love elmhurst practice heart elmhurst practice like family staffs doctors best lovely good communication caring compassionate professional kind committed patient hope never change another practice good today never felt sad anxious rejected like appointment went rush rush rush blank could see dr ’ body language today compassion good experience sad see sure even completed 10mins nice therapeutic 10mins lacks compassion first time seen doctor left anxious depressed apologise write feedback felt heart sorry write feedback,positive
burn face promptly requested book appointment isleworth health centre received link book appointment within hour upon meeting anp treatment prescribed blister plasters worked amazing size severity burn expected scar treatment care recommended meant burn almost unnoticeable within weeks couldnt recommend anp enough given understanding problem extremely successful treatment,positive
visited surgery today reception staff friendly helpful appointment time medical staff friendly exampled procedure,positive
dr r great gp professional friendly kind genuinely caring thorough checking medications medical history really impressed,positive
given flu covid along long line patients extremely well organised minimum delay courteous throughout even parking effectively marshalled,positive
meaning quite time write feedback praise nurse looked blood test 11 november 2024 1140am always problem giving blood samples mainly psychological generally faint become fainty weak tests sadly always traumatic difficult reason avoid delay much think ever test performed competently much skill quickly painlessly efficiently experienced 11 november besides obvious medical skills nurse handled particular fear mine great patience wisdom extremely grateful service toptier professional indeed,positive
gp put fully ease procedure felt confident gps skill everything went smoothly,positive
weve lived year two small children quite number interactions gps nurse practioners pershore medical every interaction staff medical reception team excellent understandably sometimes waits telephone weve really appreciated callback service particularly busy times really improved issue staff gone way helpful always kind positive happy interactions us grateful great surgery thank,positive
attended routine cervical screening felt compelled write share experience compared previous screenings surgerys lead nurse simply far best medical professional ive seen bedside manor exceptional made feel ease comfortable type screening say sometimes little tricky accomplish ive always experienced past done swiftfully discomfort free surprised ive never experienced skilled professionally executed screening please pass thanks amazing lead nurse practice,positive
first experience visiting medical surgery find interesting fact used train medical students asking relevant questions necessary checks making feel comfortable discussing reason visit information given discussed doctor via students satisfied results outcome visit,positive
great support help practice staff work good helpful efficient,positive
fathers go went beyond visited surgery took time explain clearly changes medication general health issues 30 mins,positive
felt doctors full attention listened reassuring treated respect,positive
asked weeks recordings submit using text hyperlink generally worked well quite easy key issue ’ work consistently request reminder despite clicking request one interested next surgery communication took month sort treatment change early year could easily sorted contacting via email text,positive
booked morning busy monday much wait saw doctor got nurse time diabetes check feet cut another appointment practice manager popped say hello everybody concerned great get confirmation matter ’ fault service read book whilst short wait superb team friendly walked away reassured matter person statistic 7 years totally confident support wobble good appointment around,positive
